Registered Substances
Export date: 15/02/2019 08:37:58
Last updated 13/02/2019. Database contains 21928 unique substances and contains information from 92032 dossiers.

"substanceName"	""
"ecNumber"	""
"casNumber"	""
"otherNumber"	""
"otherNumericalIdentifiers"	

"registrationType"	"FULL"
"submissionType"	
"country"	""
"firstPublishedDateMin"	
"firstPublishedDateMax"	
"lastUpdateDateMin"	
"lastUpdateDateMax"	
"registrantName"	""
"registrationNumber"	""
"tonnageBandType"	"ALL"
"tonnageBandMin"	"0"
"tonnageBandMax"	"0"
"substancesHasNanoform"	"-1"
"pbtAssesmentOutcome"	
"csaPerformed"	""
"lifecycles"	

"uses"	

"usesOperatorIsAnd"	"true"
"uses"	



"Name"	"EC / List Number"	"Cas Number"	"Registration Type"	"Submission Type"	"Total tonnage Band"	"Factsheet URL"	"Substance Information Page"	
"(1-methylpropylidene)bis[tert-butyl] peroxide"	"237-136-7"	"13653-62-8"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/25694"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.033.746"	
"(10E)-1-oxacycloheptadec-10-en-2-one"	"814-308-5"	"63286-42-0"	"Full"	"Joint"	"10 - 100 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/24672"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.247.206"	
"(10R)-10-hydroxyoctadecanoic acid"	"813-180-8"	"5856-32-6"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/19262"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.246.401"	
"(14S)-4-bromo-2-methoxy-7-methyl-17-oxa-7-azatetracyclo[12.2.1.0^{5,16}.0^{10,15}]heptadeca-1,3,5(16),10-tetraen-12-one hydrochloride"	"439-750-2"	"183487-56-1"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/25323"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.103.630"	
"(17alpha)-3-ethoxy-19-norpregna-3,5-dien-20-yn-17-ol"	"619-217-2"	"96487-85-3"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/26417"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.114.222"	
"(1E)-1,3,3,3-tetrafluoroprop-1-ene"	"471-480-0"	"1645-83-6"	"Full"	"Individual"	"1000+ tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/15736"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.104.972"	
"(1E)-1-chloro-3,3,3-trifluoroprop-1-ene"	"700-486-0"	"102687-65-0"	"Full"	"Joint"	"1000+ tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/10762"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.149.148"	
"(1R)-1-[(4R,4aR,8aS)-2,6-bis(4-chlorophenyl)-hexahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol"	"700-591-1"	"82203-23-4"	"Full"	"Joint"	"10 - 100 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/27225"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.214.963"	
"(1R)-1-isopropyl-4-methyl-cyclohex-3-en-1-ol"	"943-985-0"	"20126-76-5"	"Full"	"Joint"	"10 - 100 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/20357"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.246.424"	
"(1R)-2-(benzylamino)-1-[(2S)-6-fluoro-3,4-dihydro-2H-chromen-2-yl]ethanol"	"600-381-9"	"1030385-16-0"	"Full"	"Joint"	"0 - 10 tonnes per annum"	"https://echa.europa.eu/de/registration-dossier/-/registered-dossier/22237"	"https://echa.europa.eu/de/substance-information/-/substanceinfo/100.121.975"	
